ev_type,fleet_count,fleet_share_pct,powertrain,battery_kwh,ev_consumption_kwh_per_100km,counterfactual_ice_make_model,counterfactual_ice_mpg_combined,status,source_url,retrieval_date,notes
model_y,16254,16.40,BEV,75.00,17.3984,2024 Toyota RAV4 FWD (LE/XLE),30,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4.shtml,2026-06-07,Midsize CUV segment match; RAV4 FWD gas 27 city / 35 hwy
model_3,8116,8.19,BEV,75.00,15.5343,2024 Toyota Camry FWD LE/SE 4-cyl,32,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_Camry.shtml,2026-06-07,Midsize sedan; non-hybrid gas trim
cybertruck,4108,4.14,BEV,123.00,30.4472,2024 Ford F-150 2.7L EcoBoost 2WD,21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Ford_F150.shtml,2026-06-07,"Full-size pickup proxy; Cybertruck has no direct ICE sibling. EPA: 19 city / 24 hwy (2WD)"
ix_i4_i5_i7,4044,4.08,BEV,93.00,19.8839,2024 BMW X5 xDrive40i 3.0L I6,25,verified,https://fueleconomy.gov/feg/noframes/46545.shtml,2026-06-07,Multi-model bucket; X5 = mid-luxury CUV anchor representative of i4/i5/i7/iX siblings
rav4_prime,3125,3.15,PHEV,18.10,22.9907,2024 Toyota RAV4 FWD gas,30,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4.shtml,2026-06-07,PHEV: shadow-tax displacement = utilityFactor * VMT / 30 mpg * $0.466
x5_x3_330e_530e,3052,3.08,PHEV,16.50,24.2335,2024 BMW X5 xDrive40i,25,verified,https://fueleconomy.gov/feg/noframes/46545.shtml,2026-06-07,Multi-model PHEV bucket; X5 anchor
mustang_mach_e,2971,3.00,BEV,91.00,19.8839,2024 Ford Edge 2.0L EcoBoost,23,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Ford_Edge.shtml,2026-06-07,"Same segment (mid-size CUV); EPA: 21 city / 28 hwy = 23 combined"
lyriq,2950,2.98,BEV,102.00,24.8548,2024 Cadillac XT5 3.6L V6 FWD,21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Cadillac_XT5.shtml,2026-06-08,"Luxury midsize CUV; EPA: 19 city / 26 hwy = 21 combined (prior cited value 23 was wrong)"
r1s,2943,2.97,BEV,135.00,30.4472,2024 Chevy Tahoe 5.3L V8,17,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Chevrolet_Tahoe.shtml,2026-06-07,Full-size 3-row SUV; closest gas analog
eqs_eqe_eqb,2895,2.92,BEV,96.00,22.3694,2024 Mercedes-Benz GLE 350 4MATIC 2.0T,23,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Mercedes-Benz_GLE-Class.shtml,2026-06-08,"Multi-model bucket; GLE as luxury anchor. EPA: 20 city / 27 hwy = 23 combined (prior 20 was the city value, not combined)"
prius_prime,2681,2.70,PHEV,13.60,16.1557,2024 Toyota Corolla LE,35,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_Corolla.shtml,2026-06-07,Compact sedan proxy; PHEV displacement scaled by utilityFactor
e_tron_q4_q6_q8,2426,2.45,BEV,95.00,23.6121,2024 Audi Q5 2.0T quattro,26,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Audi_Q5.shtml,2026-06-07,Audi compact luxury CUV; 23 city / 30 hwy
equinox_ev,2380,2.40,BEV,85.00,19.2625,2024 Chevy Equinox 1.5L FWD,28,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Chevrolet_Equinox.shtml,2026-06-07,Direct gas sibling; FWD 26 city / 31 hwy
wrangler_4xe,2318,2.34,PHEV,17.30,30.4472,2024 Jeep Wrangler 4dr 4WD 3.6L V6 auto,20,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Jeep_Wrangler.shtml,2026-06-08,"Direct gas sibling; EPA: 18 city / 23 hwy = 20 combined (prior 21 was off by 1); PHEV scaled by utilityFactor"
